arena_r,interac_r,pi1,pi2,q1,q2,lamb,f0,f1,f2,sdf0,sdf1,sdf2,Q,sdQ,m,sdm,k0,k1,k2,sdk0,sdk1,sdk2,Dc
20.0,3.0,0.3,0.3,7,10,0.3,0.2191039383,0.3217981219,0.4590979398,0.070040276,0.0790313059,0.0841860717,-0.184498304,0.2211928738,0.2114554576,0.1028848474,1.1131634674,0.1908602577,0.1775374573,0.8400005801,0.1432877924,0.1320394683,
20.0,3.0,0.3,0.3,7,10,0.6,0.3292736102,0.2763793337,0.3943470561,0.0794961838,0.0758595793,0.0830500689,-0.1584116114,0.2063509389,0.1489638305,0.0842760949,2.5975493855,0.243977679,0.2636315247,1.219248223,0.1670696001,0.1699807383,
20.0,3.0,0.3,0.3,7,10,0.9,0.6621243975,0.1396410183,0.1982345842,0.0798057341,0.0585031687,0.0674908376,-0.0810474524,0.14650206,0.4932306209,0.1195743674,7.7922021143,0.5944956856,0.7191897321,1.2482435339,0.1695189175,0.1653155956,0.01863905325443787
20.0,3.1,0.3,0.3,7,10,0.3,0.2137402078,0.3214696326,0.4647901596,0.0693321538,0.0800009873,0.0853468521,-0.1781491056,0.2250317938,0.2191895598,0.1049246917,1.06179164,0.1932155192,0.1755600945,0.809592673,0.1450979118,0.1314289374,
20.0,3.1,0.3,0.3,7,10,0.6,0.3167865891,0.2772922484,0.4059211626,0.0792337093,0.0770816082,0.085102987,-0.1486633342,0.2117098008,0.1567818045,0.0894426519,2.4085223566,0.2443535647,0.2455295901,1.2044215143,0.1681277063,0.1656711225,
20.0,3.1,0.3,0.3,7,10,0.9,0.634217517,0.1471937016,0.2185887814,0.0838208006,0.0623565384,0.0736061778,-0.0757986218,0.1597866774,0.4515234763,0.1252239566,7.3557098821,0.5727575487,0.6693387984,1.3110432922,0.1801158073,0.1802530003,0.019902366863905327
20.0,3.2,0.3,0.3,7,10,0.3,0.2102870711,0.3215339736,0.4681789553,0.0691287907,0.0805229213,0.0862286764,-0.174888992,0.2272712469,0.2238606777,0.1064411998,1.0325049324,0.1943726347,0.1753916426,0.7928769999,0.1459011208,0.1311901307,
20.0,3.2,0.3,0.3,7,10,0.6,0.3043867605,0.2800896205,0.4155236191,0.0790489099,0.0789835537,0.0870851438,-0.1446556218,0.218367619,0.164771807,0.0943725243,2.2243731741,0.2426209604,0.2327248853,1.1861178839,0.1688780397,0.1620922566,
20.0,3.2,0.3,0.3,7,10,0.9,0.6011506409,0.1563693362,0.2424800229,0.0876038622,0.0668505536,0.0804108484,-0.0702586496,0.1756781697,0.4028729603,0.1290307259,6.8385100245,0.5467052557,0.6110846901,1.3702142554,0.191576791,0.1960803186,0.02120710059171598
20.0,3.3,0.3,0.3,7,10,0.3,0.2053762988,0.3225310101,0.4720926911,0.0687317993,0.0816879907,0.0870188723,-0.1729693291,0.230881569,0.2296929339,0.1076704335,0.9933247274,0.1962596256,0.1748431567,0.7675693483,0.1475486339,0.131174267,
20.0,3.3,0.3,0.3,7,10,0.6,0.2943556254,0.280710251,0.4249341236,0.0786106292,0.080158797,0.0885683151,-0.1364863784,0.2229941113,0.1736375906,0.0988017134,2.0769435663,0.2436803248,0.2213242243,1.1659244178,0.1700407943,0.1578899675,
20.0,3.3,0.3,0.3,7,10,0.9,0.5745660014,0.1631357875,0.2622982112,0.0916207599,0.070292521,0.0856031543,-0.0639733638,0.1866579863,0.3648497518,0.132237215,6.4227006435,0.5278635579,0.5630450305,1.433035269,0.1996569572,0.2075430485,0.022553254437869822
20.0,3.4,0.3,0.3,7,10,0.3,0.2003636948,0.3221459635,0.4774903417,0.0683374892,0.0825304041,0.088101919,-0.1668015853,0.2341226712,0.2370655193,0.1097186819,0.9565732193,0.1987234586,0.1751767336,0.7430405795,0.1486847146,0.1308664978,
20.0,3.4,0.3,0.3,7,10,0.6,0.2835773914,0.2835150498,0.4329075588,0.0782897432,0.0819830384,0.0901729816,-0.1341225408,0.2290463785,0.182076945,0.1032031044,1.9240662362,0.2422474755,0.2139768185,1.1398929434,0.170775335,0.1543720905,
20.0,3.4,0.3,0.3,7,10,0.9,0.5468244367,0.1685564323,0.2846191309,0.0918330859,0.0734065948,0.0893185412,-0.0524937337,0.1984891509,0.3271421073,0.1277238496,5.988797416,0.5131747607,0.5098059507,1.436343038,0.2064210567,0.2135263551,0.023940828402366863
20.0,3.5,0.3,0.3,7,10,0.3,0.197220552,0.3223546256,0.4804248224,0.0682215404,0.0831823031,0.0890700515,-0.1642844289,0.2366597523,0.2415934231,0.1108995357,0.9364307275,0.1995794147,0.1759492571,0.7299029268,0.1503336499,0.1320293272,
20.0,3.5,0.3,0.3,7,10,0.6,0.2729771129,0.2844834506,0.4425394366,0.0778523357,0.083558121,0.092035174,-0.1264274646,0.2349068005,0.1931642089,0.1075599056,1.7771736004,0.2437754099,0.2058522518,1.1105353188,0.1721534845,0.151742441,
20.0,3.5,0.3,0.3,7,10,0.9,0.5173079587,0.1755341165,0.3071579248,0.0926812729,0.0770642089,0.093636761,-0.0439103081,0.2115590843,0.2906529082,0.1214322147,5.5271514356,0.4944905406,0.4577060038,1.4495273957,0.2140145923,0.2184964424,0.0253698224852071
20.0,3.6,0.3,0.3,7,10,0.3,0.1934690613,0.3216311636,0.4848997751,0.068014075,0.083809048,0.0898325458,-0.1583625522,0.2389593464,0.247601671,0.1125535855,0.9152587311,0.2014919943,0.1767213561,0.7123149401,0.1516182571,0.1322389399,
20.0,3.6,0.3,0.3,7,10,0.6,0.2639581533,0.2851253615,0.4509164852,0.077271998,0.085302387,0.0942892098,-0.1193342379,0.24163697,0.2035720356,0.1122948113,1.6569170894,0.2461801318,0.2023389878,1.0784014872,0.1740682196,0.1498267574,
20.0,3.6,0.3,0.3,7,10,0.9,0.4916535152,0.1803548399,0.3279916449,0.0968680539,0.0802976484,0.10040188,-0.0327180348,0.2239666199,0.2662657907,0.118206633,5.125947634,0.4827549065,0.4141140246,1.5148282507,0.2191664868,0.2237281263,0.026840236686390535
20.0,3.7,0.3,0.3,7,10,0.3,0.1895241904,0.3212447602,0.4892310494,0.0673285181,0.0841778386,0.0901478812,-0.1532584711,0.2404768466,0.2533534831,0.1134802229,0.8893988591,0.2028316764,0.1767465621,0.6914927702,0.15204601,0.1325613998,
20.0,3.7,0.3,0.3,7,10,0.6,0.2539180919,0.2859547256,0.4601271825,0.0768096035,0.0871801515,0.0962328323,-0.1117822687,0.2481634875,0.2153736566,0.1165242778,1.5280177758,0.2486149585,0.1990571634,1.0437223485,0.1760850347,0.1482450867,
20.0,3.7,0.3,0.3,7,10,0.9,0.4731665655,0.1845264398,0.3423069947,0.0959377884,0.0822568971,0.1011143544,-0.026745885,0.2299160765,0.2476739744,0.1133403116,4.8368043154,0.4721110471,0.3824948984,1.5002543412,0.2224700439,0.2217804021,0.028352071005917162
20.0,3.8,0.3,0.3,7,10,0.3,0.1867657371,0.3210444532,0.4921898097,0.0669860398,0.0849201009,0.0909940309,-0.1498990967,0.2431748818,0.257724676,0.114644484,0.8741766939,0.2047597692,0.1785955519,0.6790273158,0.1531969622,0.1334037506,
20.0,3.8,0.3,0.3,7,10,0.6,0.2398626772,0.2860803371,0.4740569858,0.0753809384,0.0895960431,0.099101678,-0.0981036884,0.2574170968,0.2338378977,0.1223866885,1.3570549304,0.2535736202,0.1976800034,0.9792392404,0.1788736277,0.1474938121,
20.0,3.8,0.3,0.3,7,10,0.9,0.4441638876,0.1896599422,0.3661761702,0.0965020384,0.0867022092,0.1060191332,-0.0131437141,0.2453538697,0.2297901953,0.1068886355,4.3834919475,0.4616430416,0.3383333972,1.5081830128,0.228011672,0.2184143831,0.02990532544378698
20.0,3.9,0.3,0.3,7,10,0.3,0.1832083408,0.3217477059,0.4950439533,0.0667758193,0.0857557812,0.0915593204,-0.1484514586,0.2456738313,0.2621250045,0.1152459794,0.8600315123,0.2061496123,0.1795287954,0.6648954329,0.1543706824,0.1346989383,
20.0,3.9,0.3,0.3,7,10,0.6,0.232153176,0.2874153604,0.4804314636,0.0745319377,0.0904114113,0.0996100365,-0.0943992573,0.2601956925,0.2421969151,0.1241234679,1.2712817949,0.2530567052,0.1968176344,0.9387984135,0.1794445175,0.1469248897,
20.0,3.9,0.3,0.3,7,10,0.9,0.4138031206,0.1933493055,0.3928475738,0.0993068711,0.0904331776,0.1108555809,0.0061489628,0.2573171735,0.2235620381,0.106949804,3.9106942312,0.4548403205,0.2987907039,1.5469774889,0.2330014573,0.2079536984,0.0315
20.0,4.0,0.3,0.3,7,10,0.3,0.180614275,0.3212673974,0.4981183276,0.0664379125,0.0860749783,0.0921603435,-0.1444164673,0.2471962898,0.2661929518,0.1165617997,0.8478727571,0.2073478569,0.1812070907,0.6549983307,0.1548614164,0.1355631971,
20.0,4.0,0.3,0.3,7,10,0.6,0.2231067233,0.2851672796,0.4917259971,0.0737650146,0.0920084104,0.1013959324,-0.0786085621,0.2659964964,0.2572017353,0.1282779013,1.1787822092,0.2596890097,0.1990899034,0.8934285331,0.1829125041,0.1485450913,
20.0,4.0,0.3,0.3,7,10,0.9,0.3917449923,0.1953775842,0.4128774235,0.0963306463,0.092895361,0.1139334284,0.0221222551,0.2686272139,0.2224098975,0.10940528,3.5673830443,0.4517058762,0.2751746171,1.4967574948,0.2362395978,0.198918966,0.033136094674556214
20.0,4.2,0.3,0.3,7,10,0.3,0.1738423965,0.3203990431,0.5057585604,0.065651434,0.0882693963,0.0944693752,-0.1350395258,0.254758876,0.2777026815,0.1195866262,0.8263773983,0.2131510728,0.1876367569,0.6289269497,0.158471593,0.1397195388,
20.0,4.2,0.3,0.3,7,10,0.6,0.2116962902,0.2860738387,0.5022298711,0.0733536517,0.093554431,0.1035412434,-0.0699178063,0.2718739417,0.2718403256,0.1323248511,1.0795860193,0.2613340168,0.2047335785,0.8419782172,0.1847251867,0.1519131265,
20.0,4.2,0.3,0.3,7,10,0.9,0.342796658,0.2023556968,0.4548476452,0.0933284327,0.098118055,0.118709135,0.0501362517,0.2874336443,0.2382479737,0.1271616241,2.8145553172,0.4389493375,0.2443747153,1.4267649739,0.2417991073,0.1817963128,0.036532544378698226
20.0,4.5,0.3,0.3,7,10,0.3,0.1675278323,0.3208869211,0.5115852465,0.0647176495,0.0892187332,0.0955692602,-0.1301885957,0.258425224,0.2860986539,0.121367446,0.810481116,0.2147751361,0.1918127353,0.6090404052,0.1601421744,0.1427276208,
20.0,4.5,0.3,0.3,7,10,0.6,0.1889398365,0.2835754633,0.5274847003,0.0698891444,0.0987156829,0.1080478736,-0.0396662263,0.2893488558,0.3083018888,0.1398190051,0.9143271508,0.2757829692,0.2246375297,0.7154883414,0.1929810528,0.1650534795,
20.0,4.5,0.3,0.3,7,10,0.9,0.2925441497,0.2011380726,0.5063177777,0.0880365162,0.1042815855,0.1235369611,0.1040416324,0.3090811873,0.2865775699,0.1504791181,2.0778947021,0.4499056834,0.2449897422,1.2747225624,0.2493641993,0.1812064904,0.04193786982248521
20.0,4.8,0.3,0.3,7,10,0.3,0.1618156175,0.319623237,0.5185611454,0.0640167278,0.0902230304,0.0965714651,-0.1206853287,0.2619599817,0.2957323526,0.1233139408,0.8042960505,0.2180881446,0.1967744065,0.5973126187,0.1619998836,0.1467898005,
20.0,4.8,0.3,0.3,7,10,0.6,0.177379298,0.2826178455,0.5400028564,0.0680288396,0.100587522,0.110230598,-0.0252328346,0.2964854224,0.3261782769,0.1436624656,0.8593605628,0.2810939884,0.2380772736,0.6617437951,0.1960110202,0.173738482,
20.0,4.8,0.3,0.3,7,10,0.9,0.2411299318,0.1908205806,0.5680494876,0.0824607992,0.1105408463,0.1300008823,0.1864083265,0.3322902249,0.3662403328,0.1722993335,1.4157413943,0.4831887334,0.3041690323,1.0569022124,0.2613224366,0.209279523,0.047715976331360946
20.0,5.0,0.3,0.3,7,10,0.3,0.1589686864,0.3195074089,0.5215239047,0.0636614873,0.0910503419,0.0976086593,-0.117490913,0.2649863576,0.3002809298,0.124681979,0.8047277192,0.2198105508,0.2004327948,0.5915453906,0.1637173958,0.1493555305,
20.0,5.0,0.3,0.3,7,10,0.6,0.1660264934,0.2789639019,0.5550096047,0.0669324703,0.1019213655,0.1114859925,-0.002918199,0.3010901143,0.3468676402,0.1471184165,0.8383070533,0.2888176833,0.2546901341,0.6279298453,0.200527713,0.1835833147,
20.0,5.0,0.3,0.3,7,10,0.9,0.2139970722,0.1870797301,0.5989231978,0.0775139242,0.1122958595,0.1291189328,0.2247637376,0.3371356402,0.4084536009,0.1760555498,1.1316820612,0.494100213,0.3440662009,0.8957346786,0.2659512794,0.2248096473,0.051775147928994084
20.0,6.0,0.3,0.3,7,10,0.3,0.1502784304,0.3173785125,0.5323430571,0.0623478076,0.0934739236,0.1001227095,-0.1024139679,0.2733558469,0.315813618,0.1286731749,0.81014468,0.2270254885,0.2126502626,0.583327581,0.1681679655,0.1574983789,
20.0,6.0,0.3,0.3,7,10,0.6,0.1426573357,0.2672781805,0.5900644839,0.0627754614,0.1068622934,0.1165693385,0.055508123,0.3184352579,0.3969902524,0.1565933627,0.8473643128,0.3172806322,0.3089046212,0.597327702,0.2137596978,0.2099410049,
20.0,6.0,0.3,0.3,7,10,0.9,0.1450750884,0.148920627,0.7060042846,0.0668161819,0.1152321315,0.1333300471,0.4081630307,0.3522393573,0.5642113043,0.1882440917,0.8863316588,0.597079356,0.5519114226,0.6273817725,0.2783911436,0.278287854,0.07455621301775148
20.0,7.0,0.3,0.3,7,10,0.3,0.1480557004,0.3139936444,0.5379506552,0.0620574894,0.0938879528,0.1005534113,-0.0900366337,0.2748097299,0.3233496626,0.1298251785,0.8153788293,0.2307863918,0.2184729951,0.5822261135,0.1698396444,0.1604104789,
20.0,7.0,0.3,0.3,7,10,0.6,0.1351047238,0.258879423,0.6060158532,0.0613194051,0.1099838962,0.1196858852,0.0882570072,0.3286833416,0.4203204556,0.1614931926,0.8736933532,0.3375999401,0.3385718373,0.5998866588,0.2227201024,0.222768816,
20.0,7.0,0.3,0.3,7,10,0.9,0.1231782769,0.1193098154,0.7575119077,0.0607151207,0.1083556056,0.1238426706,0.5188922769,0.3302786597,0.639195344,0.1777995891,0.9569285884,0.6729727602,0.6637595105,0.6264838913,0.2704601371,0.2741935431,0.1014792899408284
20.0,8.0,0.3,0.3,7,10,0.3,0.1472656122,0.3146208448,0.538113543,0.0618347416,0.0942652946,0.1010591391,-0.0911281465,0.2762380366,0.32366287,0.1306752885,0.8157744813,0.2310335171,0.2193143252,0.581275868,0.1703331563,0.1614481443,
20.0,8.0,0.3,0.3,7,10,0.6,0.1316602992,0.2526981826,0.6156415182,0.0606028014,0.1106630701,0.1205179028,0.110245153,0.3312192417,0.4339177706,0.1635134218,0.8885475518,0.3503196888,0.3563866406,0.6031601267,0.2265992293,0.228465929,
20.0,8.0,0.3,0.3,7,10,0.9,0.1144717392,0.1071998429,0.7783284179,0.0580511601,0.1065830381,0.1215508999,0.5639287321,0.3251824925,0.6709124148,0.1723385556,1.0091081076,0.7081403153,0.7135835089,0.6361272315,0.2618628195,0.2686505216,0.13254437869822486
20.0,10.0,0.3,0.3,7,10,0.3,0.14651987,0.3110560217,0.5424241083,0.0616832534,0.0945588604,0.1014625999,-0.0796879352,0.2773492356,0.3292039847,0.1319023727,0.8168491394,0.2347768738,0.224001762,0.5811778225,0.1721272363,0.1642725441,
20.0,10.0,0.3,0.3,7,10,0.6,0.1296615132,0.2464854501,0.6238530367,0.0599331358,0.1112062598,0.1212179039,0.1308821366,0.3333142248,0.4453766201,0.1655666033,0.8953588526,0.362392997,0.371440674,0.6036926659,0.2316995853,0.2342350368,
20.0,10.0,0.3,0.3,7,10,0.9,0.1099235191,0.0906067055,0.7994697754,0.0566000495,0.0961585516,0.1117618924,0.6182563645,0.294183332,0.700718856,0.1626322473,1.0427276331,0.7480952721,0.7598692151,0.640396847,0.247506526,0.2562373673,0.20710059171597633
20.0,12.0,0.3,0.3,7,10,0.3,0.1462592923,0.3105194416,0.5432212661,0.0616224821,0.0953077718,0.1025217991,-0.077817617,0.2800695011,0.3310715535,0.1326092079,0.817214927,0.2373290589,0.2271175895,0.5810108724,0.1729906646,0.1654228416,
20.0,12.0,0.3,0.3,7,10,0.6,0.1289758275,0.2411742064,0.6298499661,0.0596482718,0.1115102412,0.1217130625,0.1475015532,0.3345647612,0.4541968794,0.1661954362,0.8970868455,0.3740438462,0.3839432053,0.6038437869,0.233832122,0.2363571703,
20.0,12.0,0.3,0.3,7,10,0.9,0.1088719249,0.0828604992,0.808267576,0.0561041188,0.0917403434,0.107829849,0.6425465776,0.2812191821,0.7140298497,0.1560028201,1.0485034419,0.7694269528,0.7809340293,0.6421964962,0.2356850712,0.246927265,0.2982248520710059
